usia,berat,tinggi,leher,dada,perut,pinggul,paha,lutut,pk,bisep,lb,pt,lemak
77,308,75,40,111,76,117,60,35,24,41,27,19,40
40,194,54,49,99,101,123,66,34,26,30,28,18,35
52,265,45,39,102,136,102,64,35,25,41,21,17,40
58,128,45,42,90,136,143,81,48,19,30,21,19,14
39,337,61,31,122,80,102,57,36,23,42,27,17,14
46,167,50,49,120,75,130,60,42,26,24,28,20,28
48,318,41,35,117,70,131,47,35,27,31,29,19,21
46,251,73,50,80,147,101,52,46,32,25,28,19,27
61,188,35,49,128,114,101,57,41,24,25,23,18,23
54,186,69,34,134,89,136,72,47,22,24,33,17,39
45,330,41,47,123,121,87,50,33,23,41,22,16,32
67,214,39,37,107,89,103,74,36,28,41,30,18,10
74,349,61,48,88,121,118,67,43,28,40,25,19,44
43,235,49,47,100,123,131,57,47,31,39,24,15,13
23,194,69,46,100,143,107,54,47,30,43,33,18,43
61,251,61,38,122,110,144,75,39,26,35,26,19,8
41,191,47,50,92,102,145,67,41,32,32,32,16,19
27,222,34,49,94,71,127,57,39,31,42,31,18,2
66,268,67,34,116,107,90,64,36,26,27,21,19,18
45,362,67,36,106,84,134,57,33,29,43,28,20,15
38,154,68,44,92,133,88,82,42,25,44,23,19,7
69,251,74,39,110,109,123,57,40,29,43,28,20,7
31,232,64,33,94,111,107,50,40,30,40,26,15,24
45,268,33,49,101,113,122,51,43,23,29,25,16,34
76,220,59,34,88,129,116,61,46,27,43,26,20,11
62,178,74,35,120,132,100,58,46,21,34,32,20,34
62,247,53,50,106,89,141,54,38,20,35,32,18,30
55,166,76,37,86,76,146,70,42,26,43,26,20,10
80,260,43,42,126,94,110,47,42,25,29,22,15,13
44,244,37,32,121,107,104,72,33,20,37,30,17,38
43,264,72,40,133,107,86,81,39,27,26,24,20,40
43,293,52,44,100,77,123,60,46,28,37,29,15,43
24,345,48,32,96,115,110,77,36,23,25,28,18,38
71,226,60,46,112,73,94,57,42,25,35,33,16,15
39,345,38,33,86,96,91,49,36,24,25,30,18,27
47,290,37,42,122,118,111,77,40,29,39,24,19,40
31,326,58,38,123,80,134,69,42,21,33,25,19,27
79,162,70,41,81,88,113,74,44,30,24,31,16,17
37,328,49,33,106,125,98,83,48,32,44,28,20,28
37,162,74,48,107,133,117,52,39,22,44,29,20,22
70,275,32,37,101,144,115,71,46,22,30,31,15,41
62,307,63,48,120,137,111,85,36,22,33,23,15,1
63,223,31,36,84,126,133,62,45,26,39,21,18,19
32,314,70,49,91,86,125,59,38,23,31,27,18,45
22,327,52,42,82,70,111,59,39,19,41,31,16,19
35,326,65,44,120,128,105,85,41,20,40,21,20,5
22,261,48,37,103,131,115,49,40,19,26,26,20,42
59,201,61,31,121,117,134,63,36,22,32,30,17,23
50,173,44,42,123,117,91,74,37,20,43,21,15,28
69,262,53,41,84,101,93,62,33,21,44,22,17,39
55,237,42,36,103,84,117,61,45,20,33,32,17,5
31,195,76,35,116,132,104,51,44,22,38,30,18,23
79,236,29,39,101,118,138,76,34,28,32,28,18,6
57,242,41,46,112,107,145,47,48,21,33,23,18,43
27,205,71,49,104,106,90,48,34,29,44,33,16,15
43,157,49,35,116,117,129,49,36,21,44,30,20,22
44,300,61,33,127,117,132,71,44,28,43,27,19,28
46,338,49,40,84,129,128,55,38,31,43,25,16,7
23,295,66,49,112,99,116,61,33,24,24,31,18,29
47,257,74,46,101,143,130,55,33,25,32,29,15,7
41,265,45,41,132,127,143,75,33,23,25,24,16,2
73,255,69,44,125,78,113,81,44,30,43,33,15,41
55,241,67,49,114,144,140,51,35,23,24,32,18,23
